domain,avg_rtt_sec,max_rtt_sec,loss_pct,min_rtt_sec
youtube.com,0.0004437565803527832,0.0006976127624511719,0.0,0.0003325939178466797
web.telegram.org,,,100.0,
profi.ru,0.2864495515823364,0.28666067123413086,0.0,0.28629636764526367
vk.com,0.2787989377975464,0.27930593490600586,0.0,0.2785956859588623
sky.pro,0.3673044443130493,0.3674323558807373,0.0,0.36713337898254395
drive.google.com,0.00041371583938598633,0.0005984306335449219,0.0,0.0003101825714111328
mail.google.com,0.000523686408996582,0.0009543895721435547,0.0,0.0002872943878173828
yandex.ru,0.289863646030426,0.2920866012573242,0.0,0.28736233711242676
kwork.ru,0.013591527938842773,0.013678789138793945,0.0,0.013468027114868164
baserow.io,0.0036745071411132812,0.0038268566131591797,0.0,0.0036025047302246094
