domain,avg_rtt_sec,max_rtt_sec,loss_pct,min_rtt_sec
youtube.com,0.0004925131797790527,0.0008058547973632812,0.0,0.00036978721618652344
web.telegram.org,,,100.0,
profi.ru,0.16996675729751587,0.17013120651245117,0.0,0.16987252235412598
vk.com,0.1627877950668335,0.1635119915008545,0.0,0.16247010231018066
sky.pro,0.17379343509674072,0.17393040657043457,0.0,0.1736915111541748
drive.google.com,0.0005939006805419922,0.0007395744323730469,0.0,0.00044846534729003906
mail.google.com,0.0004462003707885742,0.0007650852203369141,0.0,0.00032138824462890625
yandex.ru,0.17646199464797974,0.1765589714050293,0.0,0.17641687393188477
kwork.ru,0.014379441738128662,0.014414072036743164,0.0,0.014356374740600586
baserow.io,0.008106052875518799,0.008297204971313477,0.0,0.007977485656738281
